log_date,user_id,payment
2013-05-01,804005,571
2013-05-01,793537,81
2013-05-01,317717,81
2013-05-01,317717,81
2013-05-01,426525,324
2013-05-01,540544,243
2013-05-02,921809,81
2013-05-02,793537,81
2013-05-02,129795,162
2013-05-02,540544,571
2013-05-02,540544,243
2013-05-03,698195,571
2013-05-03,804005,571
2013-05-03,804005,571
2013-05-03,554685,81
2013-05-03,921809,81
2013-05-03,426525,162
2013-05-03,740443,81
2013-05-03,540544,1333
2013-05-04,776853,1333
2013-05-04,858567,2571
2013-05-04,804005,571
2013-05-04,184158,1333
2013-05-04,921809,81
2013-05-04,335485,81
2013-05-05,804005,571
2013-05-05,554685,81
2013-05-05,905541,571
2013-05-05,905541,571
2013-05-05,540544,162
2013-05-05,540544,81
2013-05-05,981360,571
2013-05-05,981360,571
2013-05-05,384724,571
2013-05-06,184158,2571
2013-05-06,538108,1333
2013-05-06,517929,81
2013-05-07,658531,162
2013-05-07,544833,81
2013-05-07,784949,81
2013-05-07,918669,571
2013-05-08,918669,571
2013-05-09,918669,162
2013-05-10,804005,571
2013-05-10,804005,571
2013-05-10,108347,1333
2013-05-10,140581,1333
2013-05-10,918669,81
2013-05-11,340641,81
2013-05-11,698195,571
2013-05-11,596056,571
2013-05-11,918669,571
2013-05-11,918669,81
2013-05-12,340641,571
2013-05-12,698195,81
2013-05-12,804005,571
2013-05-12,32081,81
2013-05-12,273948,81
2013-05-12,426525,81
2013-05-12,700144,81
2013-05-12,708672,324
2013-05-12,708672,571
2013-05-12,981360,571
2013-05-12,918669,571
2013-05-12,538108,1333
2013-05-13,32081,571
2013-05-13,32081,1333
2013-05-13,291492,243
2013-05-13,291492,324
2013-05-13,426525,162
2013-05-13,540544,81
2013-05-13,918669,81
2013-05-14,291492,571
2013-05-14,291492,81
2013-05-14,636668,243
2013-05-15,698195,571
2013-05-15,804005,571
2013-05-15,32081,1333
2013-05-15,636668,81
2013-05-15,918669,162
2013-05-16,343705,81
2013-05-16,5332,1333
2013-05-16,544833,162
2013-05-16,18886,162
2013-05-16,18886,1333
2013-05-16,596056,81
2013-05-16,714368,81
2013-05-16,921347,571
2013-05-16,636668,243
2013-05-17,343705,81
2013-05-17,921809,81
2013-05-17,440128,81
2013-05-17,714368,81
2013-05-17,636668,162
2013-05-17,540544,81
2013-05-18,596056,81
2013-05-18,921809,81
2013-05-18,714368,81
2013-05-18,426525,571
2013-05-18,378736,571
2013-05-18,228497,81
2013-05-18,404727,571
2013-05-18,540544,324
2013-05-18,384724,571
2013-05-18,384724,162
2013-05-19,343705,81
2013-05-19,698195,571
2013-05-19,804005,162
2013-05-19,804005,1142
2013-05-19,18886,1333
2013-05-19,921809,81
2013-05-19,714368,243
2013-05-19,240436,81
2013-05-19,378736,571
2013-05-19,636668,243
2013-05-20,18886,1333
2013-05-20,195413,162
2013-05-20,285333,81
2013-05-21,343705,81
2013-05-21,698195,571
2013-05-21,5989,571
2013-05-21,5989,324
2013-05-21,5989,571
2013-05-21,924711,1333
2013-05-21,924711,571
2013-05-21,285333,81
2013-05-22,343705,81
2013-05-22,698195,162
2013-05-22,921809,81
2013-05-22,140581,571
2013-05-22,19115,571
2013-05-22,924711,2571
2013-05-22,981360,571
2013-05-22,918669,571
2013-05-23,804005,571
2013-05-23,804005,972
2013-05-23,18886,1333
2013-05-23,714368,81
2013-05-23,799937,81
2013-05-23,19115,571
2013-05-23,19115,571
2013-05-23,19115,1333
2013-05-23,5989,162
2013-05-23,5989,571
2013-05-23,540544,81
2013-05-23,798306,162
2013-05-24,343705,81
2013-05-24,804005,571
2013-05-24,921809,162
2013-05-24,714368,162
2013-05-24,378736,571
2013-05-24,19115,571
2013-05-24,19115,571
2013-05-24,5989,162
2013-05-24,285333,81
2013-05-25,698195,571
2013-05-25,698195,162
2013-05-25,251341,81
2013-05-25,804005,571
2013-05-25,921809,81
2013-05-25,603365,81
2013-05-25,19115,162
2013-05-25,19115,571
2013-05-25,924711,1333
2013-05-25,924711,571
2013-05-25,918669,162
2013-05-25,918669,571
2013-05-25,918669,81
2013-05-26,698195,571
2013-05-26,698195,486
2013-05-26,698195,571
2013-05-26,804005,571
2013-05-26,804005,571
2013-05-26,32081,162
2013-05-26,533350,162
2013-05-26,921809,81
2013-05-26,714368,81
2013-05-26,19115,571
2013-05-26,82690,162
2013-05-26,981360,1333
2013-05-26,981360,81
2013-05-26,285333,81
2013-05-26,918669,243
2013-05-26,918669,81
2013-05-26,918669,571
2013-05-26,918669,324
2013-05-27,698195,333
2013-05-27,804005,333
2013-05-27,18886,333
2013-05-28,343705,333
2013-05-28,698195,571
2013-05-28,5332,1333
2013-05-28,18886,1333
2013-05-28,18886,1333
2013-05-28,18886,333
2013-05-28,921809,81
2013-05-28,5989,333
2013-05-28,453539,162
2013-05-28,538108,162
2013-05-28,538108,1333
2013-05-29,698195,1333
2013-05-29,518124,571
2013-05-29,726828,81
2013-05-29,18886,162
2013-05-29,533350,162
2013-05-29,140581,571
2013-05-29,453539,162
2013-05-30,343705,81
2013-05-30,698195,571
2013-05-30,804005,571
2013-05-30,144019,648
2013-05-30,921809,571
2013-05-30,312073,81
2013-05-30,891356,810
2013-05-31,331382,81
2013-05-31,518124,571
2013-05-31,533350,162
2013-05-31,711765,81
2013-05-31,711765,571
2013-05-31,711765,1333
2013-05-31,711765,571
2013-05-31,921347,571
2013-05-31,891356,162
2013-05-31,922822,162
2013-06-01,698195,1333
2013-06-01,804349,81
2013-06-01,804005,571
2013-06-01,711765,571
2013-06-01,711765,1333
2013-06-01,711765,648
2013-06-01,711765,1142
2013-06-01,714368,571
2013-06-01,405247,81
2013-06-01,921347,162
2013-06-01,285333,81
2013-06-01,440402,1333
2013-06-02,776853,571
2013-06-02,776853,1333
2013-06-02,343705,81
2013-06-02,804005,571
2013-06-02,804005,162
2013-06-02,18886,571
2013-06-02,18886,571
2013-06-02,887549,571
2013-06-02,921809,81
2013-06-02,921809,162
2013-06-02,921809,162
2013-06-02,711765,571
2013-06-02,711765,571
2013-06-02,711765,1333
2013-06-02,196570,162
2013-06-02,196570,0
2013-06-02,414531,571
2013-06-02,414531,324
2013-06-02,714368,162
2013-06-02,714368,571
2013-06-02,539596,571
2013-06-02,921347,324
2013-06-02,921347,571
2013-06-02,921347,1333
2013-06-02,921347,162
2013-06-02,921347,81
2013-06-02,974066,162
2013-06-02,683643,243
2013-06-02,981360,1142
2013-06-02,981360,1333
2013-06-02,981360,571
2013-06-02,918669,81
2013-06-02,918669,162
2013-06-02,918669,571
2013-06-02,918669,243
2013-06-03,698195,333
2013-06-03,570270,81
2013-06-03,19115,571
2013-06-03,19115,571
2013-06-03,5989,333
2013-06-03,974066,162
2013-06-03,656757,162
2013-06-03,656757,81
2013-06-03,656757,162
2013-06-03,441063,571
2013-06-04,698195,666
2013-06-04,698195,1333
2013-06-04,804005,571
2013-06-04,5332,1333
2013-06-04,18886,1333
2013-06-04,18886,333
2013-06-04,18886,1333
2013-06-04,570270,571
2013-06-04,539596,333
2013-06-04,140581,2571
2013-06-04,140581,333
2013-06-04,891356,486
2013-06-04,891356,162
2013-06-04,285333,162
2013-06-05,698195,81
2013-06-05,140581,571
2013-06-05,854994,81
2013-06-05,19115,1333
2013-06-05,19115,1333
2013-06-05,891356,81
2013-06-05,891356,486
2013-06-05,891356,81
2013-06-05,891356,162
2013-06-05,411347,162
2013-06-05,80220,571
2013-06-05,80220,571
