log_date,user_id,payment
2013/6/1,351,1333
2013/6/1,12796,81
2013/6/1,364,571
2013/6/1,13212,648
2013/6/1,13212,1142
2013/6/1,13212,571
2013/6/1,13212,1333
2013/6/1,3547,571
2013/6/1,12644,81
2013/6/1,19,162
2013/6/1,1359,81
2013/6/1,9757,1333
2013/6/2,117,1333
2013/6/2,117,571
2013/6/2,128,81
2013/6/2,364,571
2013/6/2,364,162
2013/6/2,3,571
2013/6/2,7064,571
2013/6/2,734,81
2013/6/2,734,162
2013/6/2,13212,571
2013/6/2,13212,1333
2013/6/2,4171,0
2013/6/2,4171,162
2013/6/2,8745,571
2013/6/2,8745,324
2013/6/2,3547,162
2013/6/2,3547,571
2013/6/2,435,571
2013/6/2,19,571
2013/6/2,19,81
2013/6/2,19,324
2013/6/2,19,1333
2013/6/2,19,162
2013/6/2,220,162
2013/6/2,13444,243
2013/6/2,71,571
2013/6/2,71,1333
2013/6/2,71,1142
2013/6/2,246,162
2013/6/2,246,81
2013/6/2,246,571
2013/6/2,246,243
2013/6/3,351,333
2013/6/3,13015,81
2013/6/3,6544,571
2013/6/3,11,333
2013/6/3,220,162
2013/6/3,12972,162
2013/6/3,12972,81
2013/6/3,340,571
2013/6/4,351,1333
2013/6/4,351,666
2013/6/4,364,571
2013/6/4,35,1333
2013/6/4,3,1333
2013/6/4,3,333
2013/6/4,13015,571
2013/6/4,435,333
2013/6/4,286,2571
2013/6/4,286,333
2013/6/4,10844,162
2013/6/4,10844,486
2013/6/4,1359,162
2013/6/5,351,81
2013/6/5,286,571
2013/6/5,2784,81
2013/6/5,6544,1333
2013/6/5,10844,162
2013/6/5,10844,486
2013/6/5,10844,81
2013/6/5,6459,162
2013/6/5,14454,571
2013/6/5,14729,162
2013/6/5,246,571
2013/6/6,364,571
2013/6/6,159,81
2013/6/6,257,162
2013/6/6,183,571
2013/6/6,12233,486
2013/6/6,220,162
2013/6/6,6459,162
2013/6/6,14454,571
2013/6/6,14454,324
2013/6/6,15146,162
2013/6/6,13121,162
2013/6/6,6482,1333
2013/6/7,128,162
2013/6/7,351,1333
2013/6/7,157,486
2013/6/7,3547,571
2013/6/7,183,162
2013/6/7,10460,81
2013/6/7,12897,81
2013/6/7,14454,486
2013/6/7,1359,81
2013/6/7,963,81
2013/6/7,963,571
2013/6/7,340,1333
2013/6/8,15539,162
2013/6/8,3,571
2013/6/8,257,162
2013/6/8,734,81
2013/6/8,10487,571
2013/6/8,71,1333
2013/6/8,14454,81
2013/6/8,235,1333
2013/6/8,12954,81
2013/6/8,246,162
2013/6/8,340,1333
2013/6/8,340,571
2013/6/9,128,81
2013/6/9,146,81
2013/6/9,3,1333
2013/6/9,15634,81
2013/6/9,14454,162
2013/6/9,14454,571
2013/6/9,14454,81
2013/6/9,14454,648
2013/6/9,340,571
2013/6/9,340,1333
2013/6/10,117,952
2013/6/10,128,333
2013/6/10,351,952
2013/6/10,351,571
2013/6/10,364,333
2013/6/10,3,952
2013/6/10,159,81
2013/6/10,497,81
2013/6/10,10287,571
2013/6/10,11704,81
2013/6/10,15634,162
2013/6/10,11,952
2013/6/10,220,162
2013/6/10,71,571
2013/6/10,14454,81
2013/6/10,14454,666
2013/6/10,1359,162
2013/6/10,1359,333
2013/6/10,235,952
2013/6/10,14729,81
2013/6/10,246,81
2013/6/11,117,1333
2013/6/11,117,571
2013/6/11,117,952
2013/6/11,351,952
2013/6/11,364,571
2013/6/11,146,81
2013/6/11,13179,333
2013/6/11,3,1333
2013/6/11,3,952
2013/6/11,159,333
2013/6/11,16320,162
2013/6/11,16521,162
2013/6/11,460,571
2013/6/11,220,571
2013/6/11,12941,81
2013/6/11,3880,81
2013/6/11,6459,571
2013/6/11,1359,81
2013/6/11,963,571
2013/6/11,6482,952
2013/6/12,15803,81
2013/6/12,15803,571
2013/6/12,128,81
2013/6/12,364,162
2013/6/12,364,571
2013/6/12,14766,81
2013/6/12,14766,571
2013/6/12,14766,162
2013/6/12,16708,81
