region_month,region_day,user_id,device
2013-01,2013-01-01,10061580,App
2013-01,2013-01-01,10154440,App
2013-01,2013-01-01,10164762,XYX
2013-01,2013-01-01,10165615,App
2013-01,2013-01-01,10321356,App
2013-01,2013-01-01,10406653,XYX
2013-01,2013-01-01,10447112,App
2013-01,2013-01-01,10479169,App
2013-01,2013-01-01,10494712,XYX
2013-01,2013-01-01,10513749,App
2013-01,2013-01-01,10528830,App
2013-01,2013-01-01,10575741,XYX
2013-01,2013-01-01,10588037,XYX
2013-01,2013-01-01,10687075,App
2013-01,2013-01-01,10718123,XYX
2013-01,2013-01-01,10782295,XYX
2013-01,2013-01-01,10793381,App
2013-01,2013-01-01,10927434,App
2013-01,2013-01-01,11014143,App
2013-01,2013-01-01,11063425,App
2013-01,2013-01-01,11183689,App
2013-01,2013-01-01,11237727,App
2013-01,2013-01-01,11310211,XYX
2013-01,2013-01-01,11315802,App
2013-01,2013-01-01,11343048,XYX
2013-01,2013-01-01,11436340,XYX
2013-01,2013-01-01,11481764,XYX
2013-01,2013-01-01,11490891,App
2013-01,2013-01-01,11526971,App
2013-01,2013-01-01,11532900,XYX
2013-01,2013-01-01,11552975,App
2013-01,2013-01-01,1157648,XYX
2013-01,2013-01-01,11607378,App
2013-01,2013-01-01,1163733,App
2013-01,2013-01-01,11727630,App
2013-01,2013-01-01,11743965,App
2013-01,2013-01-01,11754477,XYX
2013-01,2013-01-01,11761672,XYX
2013-01,2013-01-01,11821562,App
2013-01,2013-01-01,11938172,App
2013-01,2013-01-01,12042372,App
2013-01,2013-01-01,12184745,App
2013-01,2013-01-01,12214955,XYX
2013-01,2013-01-01,12221228,XYX
2013-01,2013-01-01,12319534,App
2013-01,2013-01-01,12391088,App
2013-01,2013-01-01,12481659,App
2013-01,2013-01-01,12512112,App
2013-01,2013-01-01,12609023,XYX
2013-01,2013-01-01,12609465,App
2013-01,2013-01-01,12639926,App
2013-01,2013-01-01,12663659,App
2013-01,2013-01-01,12677311,App
2013-01,2013-01-01,12830546,App
2013-01,2013-01-01,12882994,App
2013-01,2013-01-01,12925701,XYX
2013-01,2013-01-01,12955041,App
2013-01,2013-01-01,12961481,XYX
2013-01,2013-01-01,13082340,App
2013-01,2013-01-01,13168395,App
2013-01,2013-01-01,13198345,App
2013-01,2013-01-01,13267554,App
2013-01,2013-01-01,13283871,App
