install_date,user_id,gender,generation,device_type
2013/4/15,1,M,40,iOS
2013/4/15,2,M,10,Android
2013/4/15,3,F,40,iOS
2013/4/15,4,M,10,Android
2013/4/15,5,M,40,iOS
2013/4/15,6,M,40,iOS
2013/4/15,7,F,30,Android
2013/4/15,8,F,20,iOS
2013/4/15,9,F,50,iOS
2013/4/15,10,M,20,Android
2013/4/15,11,M,40,iOS
2013/4/15,12,F,20,iOS
2013/4/15,13,M,30,iOS
2013/4/15,14,F,30,iOS
2013/4/15,15,F,40,Android
2013/4/15,16,M,20,Android
2013/4/15,17,F,10,Android
2013/4/15,18,F,30,Android
2013/4/15,19,F,30,iOS
2013/4/15,20,F,10,iOS
2013/4/15,21,M,20,Android
2013/4/15,22,F,30,Android
2013/4/15,23,M,20,Android
2013/4/15,24,M,50,iOS
2013/4/15,25,M,20,Android
2013/4/16,26,M,20,iOS
2013/4/16,27,F,20,Android
2013/4/16,28,M,20,iOS
2013/4/16,29,F,20,iOS
2013/4/16,30,F,20,iOS
2013/4/16,31,F,20,iOS
2013/4/16,32,F,50,Android
2013/4/16,33,F,10,Android
2013/4/16,34,F,40,iOS
2013/4/16,35,F,30,Android
2013/4/16,36,M,20,Android
2013/4/16,37,M,40,Android
2013/4/16,38,F,10,Android
2013/4/16,39,F,10,iOS
2013/4/16,40,M,10,iOS
2013/4/16,41,M,30,iOS
2013/4/16,42,M,20,iOS
2013/4/16,43,F,20,iOS
2013/4/16,44,F,30,Android
2013/4/16,45,F,10,iOS
2013/4/16,46,F,20,Android
2013/4/16,47,F,30,iOS
2013/4/16,48,M,30,Android
2013/4/16,49,F,20,iOS
2013/4/16,50,F,20,Android
2013/4/16,51,F,30,Android
2013/4/16,52,M,30,Android
2013/4/16,53,M,20,Android
2013/4/16,54,M,10,Android
2013/4/16,55,F,20,iOS
2013/4/16,56,F,20,Android
2013/4/16,57,M,30,Android
2013/4/16,58,F,20,Android
2013/4/16,59,F,20,Android
2013/4/16,60,M,40,Android
2013/4/16,61,F,20,iOS
2013/4/16,62,M,10,Android
2013/4/16,63,M,20,iOS
2013/4/16,64,M,20,Android
2013/4/16,65,M,20,Android
2013/4/16,66,F,30,iOS
2013/4/16,67,F,20,Android
2013/4/16,68,M,10,Android
2013/4/16,69,F,40,iOS
2013/4/16,70,M,20,iOS
2013/4/16,71,F,10,iOS
2013/4/16,72,F,40,Android
2013/4/16,73,M,30,Android
2013/4/16,74,M,10,Android
2013/4/16,75,M,20,iOS
2013/4/16,76,M,20,iOS
2013/4/16,77,F,20,Android
2013/4/16,78,M,20,iOS
2013/4/16,79,M,20,iOS
2013/4/16,80,F,30,iOS
2013/4/16,81,M,30,iOS
2013/4/16,82,M,40,Android
2013/4/16,83,F,30,iOS
2013/4/16,84,F,20,Android
2013/4/16,85,M,30,iOS
2013/4/16,86,M,50,Android
2013/4/16,87,F,20,iOS
2013/4/16,88,F,30,Android
2013/4/16,89,M,10,Android
2013/4/16,90,F,10,Android
2013/4/16,91,M,30,iOS
2013/4/16,92,M,20,Android
2013/4/16,93,F,10,Android
2013/4/16,94,M,10,Android
2013/4/16,95,F,30,iOS
2013/4/16,96,M,30,iOS
2013/4/16,97,M,20,Android
2013/4/16,98,F,30,iOS
2013/4/16,99,M,30,Android
2013/4/16,100,M,20,iOS
2013/4/16,101,M,20,iOS
2013/4/16,102,F,30,Android
2013/4/16,103,F,20,iOS
2013/4/16,104,M,30,iOS
2013/4/16,105,M,30,Android
2013/4/16,106,F,10,iOS
2013/4/16,107,F,10,Android
2013/4/16,108,M,10,Android
2013/4/16,109,F,20,iOS
2013/4/16,110,F,20,Android
2013/4/16,111,F,40,iOS
2013/4/16,112,F,10,Android
2013/4/16,113,F,20,iOS
2013/4/16,114,M,20,iOS
2013/4/16,115,F,30,Android
2013/4/17,116,F,30,Android
2013/4/17,117,F,20,iOS
2013/4/17,118,F,20,iOS
2013/4/17,119,M,20,iOS
2013/4/17,120,F,30,iOS
2013/4/17,121,F,20,iOS
2013/4/17,122,F,10,Android
2013/4/17,123,F,20,iOS
2013/4/17,124,F,30,Android
2013/4/17,125,F,10,Android
2013/4/17,126,F,20,iOS
2013/4/17,127,F,20,Android
2013/4/17,128,F,30,iOS
2013/4/17,129,M,30,Android
2013/4/17,130,F,20,iOS
2013/4/17,131,F,10,Android
2013/4/17,132,F,30,Android
2013/4/17,133,F,50,iOS
2013/4/17,134,F,20,iOS
2013/4/17,135,M,10,Android
2013/4/17,136,F,10,Android
2013/4/17,137,F,30,Android
2013/4/17,138,F,20,iOS
2013/4/17,139,F,20,Android
2013/4/17,140,M,20,Android
2013/4/17,141,F,10,iOS
2013/4/17,142,F,20,iOS
2013/4/17,143,M,30,Android
2013/4/17,144,M,30,iOS
2013/4/17,145,F,10,iOS
2013/4/17,146,F,30,Android
2013/4/17,147,M,30,Android
2013/4/17,148,F,20,iOS
2013/4/17,149,F,30,Android
2013/4/17,150,F,50,iOS
2013/4/17,151,M,30,iOS
2013/4/17,152,F,10,Android
2013/4/17,153,M,10,iOS
2013/4/17,154,M,20,iOS
2013/4/17,155,F,40,Android
2013/4/17,156,M,40,iOS
2013/4/17,157,F,30,iOS
2013/4/17,158,M,10,iOS
2013/4/17,159,M,30,iOS
2013/4/17,160,F,10,Android
2013/4/17,161,M,20,iOS
2013/4/17,162,M,30,iOS
2013/4/17,163,F,30,Android
2013/4/17,164,M,30,Android
2013/4/17,165,M,20,Android
2013/4/17,166,M,30,iOS
2013/4/17,167,F,40,Android
2013/4/17,168,F,20,Android
2013/4/17,169,M,10,iOS
2013/4/17,170,F,20,iOS
2013/4/17,171,F,10,iOS
2013/4/17,172,F,20,Android
2013/4/17,173,M,20,Android
2013/4/17,174,F,10,iOS
2013/4/17,175,F,10,iOS
2013/4/17,176,F,40,Android
2013/4/17,177,F,30,Android
2013/4/17,178,M,30,iOS
2013/4/17,179,F,20,iOS
2013/4/17,180,M,10,Android
2013/4/17,181,F,30,Android
2013/4/17,182,F,40,iOS
2013/4/17,183,F,40,iOS
2013/4/17,184,F,50,iOS
2013/4/17,185,M,30,iOS
2013/4/17,186,F,10,Android
2013/4/17,187,F,30,iOS
2013/4/17,188,M,20,Android
2013/4/17,189,M,20,Android
2013/4/17,190,F,20,Android
2013/4/17,191,F,20,Android
2013/4/17,192,F,40,Android
2013/4/17,193,F,20,iOS
2013/4/17,194,M,40,Android
2013/4/17,195,F,20,iOS
2013/4/17,196,F,30,Android
2013/4/17,197,M,20,iOS
2013/4/17,198,M,40,Android
2013/4/17,199,M,20,iOS
2013/4/17,200,F,20,Android
2013/4/17,201,F,20,Android
2013/4/17,202,F,30,iOS
2013/4/17,203,F,20,iOS
2013/4/17,204,F,20,iOS
2013/4/17,205,M,20,iOS
2013/4/17,206,F,40,Android
2013/4/17,207,F,10,Android
2013/4/17,208,M,10,Android
2013/4/17,209,M,20,iOS
2013/4/17,210,F,30,Android
2013/4/17,211,M,30,iOS
2013/4/17,212,M,20,Android
2013/4/17,213,M,20,iOS
2013/4/17,214,M,40,iOS
2013/4/17,215,M,20,iOS
2013/4/17,216,F,30,Android
2013/4/17,217,M,10,iOS
2013/4/17,218,M,30,iOS
2013/4/17,219,M,30,Android
2013/4/17,220,M,10,Android
2013/4/17,221,M,20,iOS
2013/4/17,222,F,10,iOS
2013/4/17,223,M,20,iOS
2013/4/17,224,M,30,iOS
2013/4/17,225,F,30,iOS
2013/4/17,226,M,40,iOS
2013/4/17,227,F,40,Android
2013/4/17,228,M,30,iOS
2013/4/17,229,F,20,iOS
2013/4/17,230,M,40,Android
2013/4/17,231,F,50,Android
2013/4/17,232,M,40,iOS
2013/4/17,233,F,30,Android
2013/4/17,234,F,10,Android
2013/4/17,235,M,30,Android
2013/4/17,236,M,30,Android
2013/4/17,237,M,10,iOS
2013/4/17,238,F,10,Android
2013/4/17,239,M,30,Android
2013/4/17,240,M,50,iOS
2013/4/17,241,F,30,Android
2013/4/17,242,F,20,iOS
2013/4/17,243,M,20,Android
2013/4/17,244,M,10,iOS
2013/4/17,245,F,20,iOS
2013/4/17,246,M,20,iOS
2013/4/17,247,M,20,iOS
2013/4/17,248,M,30,Android
2013/4/17,249,F,20,iOS
2013/4/17,250,F,30,iOS
2013/4/17,251,M,10,Android
2013/4/17,252,M,30,Android
2013/4/17,253,F,40,iOS
2013/4/17,254,F,30,Android
2013/4/17,255,M,20,iOS
2013/4/17,256,M,20,Android
2013/4/17,257,M,50,iOS
2013/4/17,258,M,30,Android
2013/4/17,259,F,10,Android
2013/4/17,260,M,20,iOS
2013/4/17,261,F,30,iOS
2013/4/17,262,F,20,Android
2013/4/17,263,F,30,iOS
2013/4/17,264,M,30,Android
2013/4/17,265,F,30,iOS
2013/4/17,266,M,30,iOS
2013/4/17,267,M,10,iOS
2013/4/17,268,M,10,Android
2013/4/17,269,F,20,iOS
2013/4/17,270,F,40,Android
2013/4/17,271,M,30,iOS
2013/4/17,272,F,20,iOS
2013/4/17,273,F,10,Android
2013/4/17,274,F,50,Android
2013/4/17,275,F,30,iOS
2013/4/17,276,M,10,Android
2013/4/17,277,M,20,iOS
2013/4/17,278,M,30,Android
2013/4/17,279,M,30,iOS
2013/4/17,280,M,20,iOS
2013/4/17,281,M,10,Android
2013/4/17,282,M,20,Android
2013/4/17,283,F,20,Android
2013/4/17,284,M,30,iOS
2013/4/17,285,F,30,Android
2013/4/17,286,M,20,Android
2013/4/17,287,M,20,iOS
2013/4/17,288,M,30,iOS
2013/4/17,289,M,20,iOS
2013/4/17,290,M,30,iOS
2013/4/17,291,F,20,iOS
2013/4/17,292,F,10,Android
2013/4/17,293,F,30,iOS
2013/4/17,294,M,30,Android
2013/4/17,295,M,30,Android
2013/4/17,296,F,30,iOS
2013/4/17,297,M,30,Android
2013/4/17,298,M,30,iOS
2013/4/17,299,F,20,iOS
2013/4/17,300,F,20,iOS
2013/4/17,301,M,30,iOS
2013/4/17,302,F,30,Android
2013/4/17,303,M,10,Android
2013/4/17,304,M,30,iOS
2013/4/17,305,F,40,iOS
2013/4/17,306,F,20,Android
2013/4/17,307,F,20,Android
2013/4/17,308,F,10,Android
2013/4/17,309,M,10,Android
2013/4/17,310,M,30,Android
2013/4/17,311,M,10,iOS
2013/4/17,312,M,40,iOS
2013/4/17,313,F,30,iOS
2013/4/17,314,F,30,iOS
2013/4/17,315,F,30,Android
2013/4/17,316,F,10,iOS
2013/4/17,317,M,10,iOS
2013/4/17,318,F,30,Android
2013/4/17,319,M,30,Android
2013/4/17,320,F,20,iOS
2013/4/17,321,M,30,Android
2013/4/17,322,M,20,Android
2013/4/17,323,F,30,Android
2013/4/17,324,F,50,Android
2013/4/17,325,M,30,Android
2013/4/17,326,F,30,Android
2013/4/17,327,M,20,iOS
2013/4/17,328,M,20,Android
2013/4/17,329,M,30,iOS
2013/4/17,330,M,20,Android
2013/4/17,331,F,30,iOS
2013/4/17,332,M,30,iOS
2013/4/17,333,F,10,iOS
2013/4/17,334,F,30,Android
2013/4/17,335,M,20,iOS
2013/4/17,336,M,30,iOS
2013/4/17,337,M,20,iOS
2013/4/17,338,F,20,iOS
2013/4/17,339,F,50,iOS
2013/4/17,340,M,30,iOS
2013/4/17,341,F,40,Android
2013/4/17,342,F,30,iOS
2013/4/17,343,M,30,Android
2013/4/17,344,M,30,Android
2013/4/17,345,M,10,iOS
2013/4/18,346,F,30,iOS
2013/4/18,347,F,30,Android
2013/4/18,348,M,20,iOS
2013/4/18,349,F,20,iOS
2013/4/18,350,M,30,iOS
2013/4/18,351,F,40,iOS
2013/4/18,352,M,20,iOS
2013/4/18,353,M,40,Android
2013/4/18,354,F,10,iOS
2013/4/18,355,F,20,Android
2013/4/18,356,M,10,Android
2013/4/18,357,M,40,iOS
2013/4/18,358,M,10,iOS
2013/4/18,359,M,30,iOS
2013/4/18,360,F,10,Android
2013/4/18,361,F,20,Android
2013/4/18,362,F,20,Android
2013/4/18,363,M,30,Android
2013/4/18,364,F,50,Android
2013/4/18,365,F,30,Android
2013/4/18,366,M,20,Android
2013/4/18,367,F,20,iOS
2013/4/18,368,M,10,iOS
2013/4/18,369,F,30,Android
2013/4/18,370,F,20,iOS
2013/4/18,371,F,20,iOS
2013/4/18,372,M,20,iOS
2013/4/18,373,F,20,Android
2013/4/18,374,M,20,iOS
2013/4/18,375,F,40,iOS
2013/4/18,376,M,20,Android
2013/4/18,377,M,40,Android
2013/4/18,378,M,20,iOS
2013/4/18,379,M,20,Android
2013/4/18,380,M,10,Android
2013/4/18,381,F,40,iOS
2013/4/18,382,M,30,iOS
2013/4/18,383,M,40,Android
2013/4/18,384,F,30,iOS
2013/4/18,385,F,20,Android
2013/4/18,386,F,10,Android
2013/4/18,387,F,20,Android
2013/4/18,388,F,50,iOS
2013/4/18,389,M,30,iOS
2013/4/18,390,F,30,Android
2013/4/18,391,F,30,iOS
2013/4/18,392,M,20,Android
2013/4/18,393,F,10,iOS
2013/4/18,394,M,30,iOS
2013/4/18,395,M,10,Android
2013/4/18,396,M,40,iOS
2013/4/18,397,M,20,Android
