log_date,user_id
2013/8/1,33754
2013/8/1,28598
2013/8/1,30306
2013/8/1,117
2013/8/1,6605
2013/8/1,346
2013/8/1,28601
2013/8/1,123
2013/8/1,33446
2013/8/1,31685
2013/8/1,8122
2013/8/1,31687
2013/8/1,33764
2013/8/1,30994
2013/8/1,33759
2013/8/1,33765
2013/8/1,592
2013/8/1,5517
2013/8/1,32088
2013/8/1,5523
2013/8/1,26556
2013/8/1,596
2013/8/1,33767
2013/8/1,33761
2013/8/1,350
2013/8/1,18962
2013/8/1,33763
2013/8/1,33052
2013/8/1,10164
2013/8/1,1532
2013/8/1,33769
2013/8/1,25903
2013/8/1,33770
2013/8/1,29708
2013/8/1,10902
2013/8/1,17463
2013/8/1,33771
2013/8/1,28606
2013/8/1,31691
2013/8/1,33452
2013/8/1,24964
2013/8/1,33779
2013/8/1,128
2013/8/1,22884
2013/8/1,33772
2013/8/1,4744
2013/8/1,33628
2013/8/1,33063
2013/8/1,33061
2013/8/1,18512
2013/8/1,15026
2013/8/1,12795
2013/8/1,32307
2013/8/1,33773
2013/8/1,11320
2013/8/1,33774
2013/8/1,29711
2013/8/1,6325
2013/8/1,23613
2013/8/1,24040
2013/8/1,19774
2013/8/1,33782
2013/8/1,351
2013/8/1,33775
2013/8/1,26574
2013/8/1,15807
2013/8/1,24042
2013/8/1,18259
2013/8/1,31697
2013/8/1,21700
2013/8/1,33783
2013/8/1,15028
2013/8/1,4747
2013/8/1,1229
2013/8/1,7990
2013/8/1,27384
2013/8/1,24979
2013/8/1,7015
2013/8/1,15809
2013/8/1,3193
2013/8/1,33796
2013/8/1,20235
2013/8/1,3194
2013/8/1,8276
2013/8/1,33786
2013/8/1,33798
2013/8/1,1230
2013/8/1,33787
2013/8/1,33788
2013/8/1,31009
2013/8/1,21706
2013/8/1,33791
2013/8/1,17971
2013/8/1,13512
2013/8/1,20233
2013/8/1,31004
2013/8/1,18977
2013/8/1,28879
2013/8/1,8805
2013/8/1,33802
2013/8/1,25914
2013/8/1,33803
2013/8/1,28137
2013/8/1,10175
2013/8/1,24052
2013/8/1,33068
2013/8/1,33812
2013/8/1,833
2013/8/1,33813
2013/8/1,29723
2013/8/1,33808
2013/8/1,30327
2013/8/1,33809
2013/8/1,11907
2013/8/1,33460
2013/8/1,26582
2013/8/1,22300
2013/8/1,602
2013/8/1,33817
2013/8/1,30328
2013/8/1,30329
2013/8/1,22708
2013/8/1,27782
2013/8/1,15537
2013/8/1,28898
2013/8/1,16587
2013/8/1,33818
2013/8/1,31705
2013/8/1,20615
2013/8/1,27390
2013/8/1,33819
2013/8/1,28144
2013/8/1,27006
2013/8/1,31446
2013/8/1,33820
2013/8/1,24065
2013/8/1,32825
2013/8/1,26585
2013/8/1,1401
2013/8/1,3232
2013/8/1,30
2013/8/1,33824
2013/8/1,24998
2013/8/1,17204
2013/8/1,30116
2013/8/1,1630
2013/8/1,23638
2013/8/1,32828
2013/8/1,13525
2013/8/1,11915
2013/8/1,30117
2013/8/1,33827
2013/8/1,32829
2013/8/1,16026
2013/8/1,4780
2013/8/1,33828
2013/8/1,33836
2013/8/1,33837
2013/8/1,12355
2013/8/1,13156
2013/8/1,33829
2013/8/1,7399
2013/8/1,33839
2013/8/1,8524
2013/8/1,7999
2013/8/1,9009
2013/8/1,33842
2013/8/1,32102
2013/8/1,3276
2013/8/1,33467
2013/8/1,32836
2013/8/1,33843
2013/8/1,28153
2013/8/1,33850
2013/8/1,27241
2013/8/1,33844
2013/8/1,22920
2013/8/1,11918
2013/8/1,30740
2013/8/1,33845
2013/8/1,18277
2013/8/1,30742
2013/8/1,33847
2013/8/1,14207
2013/8/1,33855
2013/8/1,32839
2013/8/1,33856
2013/8/1,24082
2013/8/1,3272
2013/8/1,33857
2013/8/1,33849
2013/8/1,14211
2013/8/1,22928
2013/8/1,372
2013/8/1,33858
2013/8/1,11643
2013/8/1,27793
2013/8/1,33862
2013/8/1,20633
2013/8/1,11928
2013/8/1,32474
2013/8/1,10198
2013/8/1,10930
2013/8/1,33866
2013/8/1,6653
2013/8/1,33872
2013/8/1,18788
2013/8/1,14212
2013/8/1,7409
2013/8/1,7822
2013/8/1,18537
2013/8/1,375
2013/8/1,33640
2013/8/1,28165
2013/8/1,29747
2013/8/1,20988
2013/8/1,144
2013/8/1,28934
2013/8/1,33869
2013/8/1,617
2013/8/1,17985
2013/8/1,33870
2013/8/1,33085
2013/8/1,33875
2013/8/1,33876
2013/8/1,33877
2013/8/1,3329
2013/8/1,34
2013/8/1,33879
2013/8/1,33878
2013/8/1,28944
2013/8/1,33641
2013/8/1,33882
2013/8/1,33884
2013/8/1,25026
2013/8/1,31460
2013/8/1,7413
